job_title,salary_usd,experience_level,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name,experience_level_enc,company_size_enc,education_required_enc,employment_type_FL,employment_type_FT,employment_type_PT,company_location_freq,employee_residence_freq
Machine Learning Engineer,177700,EX,United Kingdom,M,United Kingdom,100,"Kubernetes, SQL, Python",PhD,14,Retail,8.2,Quantum Computing Inc,3,1,3,0,0,1,0.052636054421768705,0.042006802721088435
Principal Data Scientist,226559,EX,South Korea,L,Argentina,50,"R, Python, Azure, SQL",PhD,11,Consulting,8.0,Future Systems,3,2,3,0,0,1,0.053061224489795916,0.0068877551020408165
Research Scientist,109363,SE,Singapore,S,Singapore,100,"Deep Learning, Java, Python",Associate,6,Energy,7.9,Predictive Systems,2,0,0,0,0,0,0.05204081632653061,0.04175170068027211
Data Analyst,130819,EX,Finland,M,Finland,100,"Java, R, Mathematics",PhD,15,Telecommunications,8.5,Neural Networks Co,3,1,3,0,1,0,0.04855442176870748,0.03792517006802721
NLP Engineer,66333,EN,Australia,M,Australia,100,"SQL, Kubernetes, Hadoop",Bachelor,1,Retail,6.8,Algorithmic Solutions,0,1,1,1,0,0,0.047448979591836735,0.039965986394557826
Deep Learning Engineer,45879,SE,India,S,Latvia,50,"R, GCP, PyTorch, Computer Vision, Statistics",Bachelor,6,Government,7.7,Cloud AI Solutions,2,0,1,0,0,1,0.03945578231292517,0.004166666666666667
Head of AI,122390,MI,United States,M,United States,0,"PyTorch, TensorFlow, Computer Vision, Docker, Mathematics",Associate,2,Media,6.3,TechCorp Inc,1,1,0,0,1,0,0.05314625850340136,0.042261904761904764
AI Product Manager,170750,SE,Netherlands,L,Hungary,0,"Python, Data Visualization, MLOps, Hadoop, AWS",Associate,5,Finance,7.5,Predictive Systems,2,2,0,0,0,1,0.050425170068027214,0.005272108843537415
Machine Learning Researcher,52180,EN,Sweden,S,Egypt,100,"PyTorch, Java, Statistics",Associate,0,Finance,7.8,DataVision Ltd,0,0,0,0,0,0,0.05085034013605442,0.005272108843537415
Deep Learning Engineer,61260,SE,China,L,China,0,"Scala, R, Python",Master,9,Automotive,6.5,Cognitive Computing,2,2,2,0,0,0,0.050085034013605444,0.04353741496598639
Robotics Engineer,151191,SE,Denmark,S,Denmark,0,"NLP, Tableau, Scala, GCP",PhD,8,Energy,6.7,Digital Transformation LLC,2,0,3,0,1,0,0.049829931972789114,0.03843537414965986
AI Specialist,271779,EX,Ireland,L,Ireland,50,"Computer Vision, Azure, Data Visualization, NLP",Master,11,Automotive,9.0,Cloud AI Solutions,3,2,2,0,0,0,0.05127551020408163,0.04311224489795919
NLP Engineer,123407,SE,Canada,M,Canada,100,"Mathematics, Python, MLOps, SQL, Linux",Bachelor,7,Energy,5.9,TechCorp Inc,2,1,1,0,0,1,0.053316326530612246,0.04336734693877551
Data Engineer,107269,SE,Israel,S,Australia,100,"PyTorch, Spark, SQL, Linux",Associate,9,Energy,6.0,Future Systems,2,0,0,0,1,0,0.05187074829931973,0.039965986394557826
AI Software Engineer,75044,EN,United Kingdom,S,United Kingdom,100,"Data Visualization, Azure, Java, MLOps, Scala",Master,0,Gaming,8.6,Cloud AI Solutions,0,0,2,1,0,0,0.052636054421768705,0.042006802721088435
Data Analyst,95920,MI,Japan,L,Japan,100,"Python, TensorFlow, Mathematics",Master,2,Transportation,9.2,Neural Networks Co,1,2,2,0,1,0,0.050085034013605444,0.03988095238095238
Data Analyst,30696,EN,China,S,Portugal,0,"GCP, NLP, Linux, R",Master,0,Media,9.1,Algorithmic Solutions,0,0,2,0,0,0,0.050085034013605444,0.005782312925170068
Machine Learning Engineer,135609,SE,Denmark,M,Luxembourg,100,"R, Tableau, Statistics, NLP",Master,8,Healthcare,8.7,AI Innovations,2,1,2,0,1,0,0.049829931972789114,0.006207482993197279
Machine Learning Researcher,75857,EN,Denmark,S,Denmark,100,"R, Spark, GCP",Associate,0,Transportation,7.5,Future Systems,0,0,0,0,1,0,0.049829931972789114,0.03843537414965986
Data Engineer,227275,EX,Switzerland,M,Switzerland,0,"GCP, Kubernetes, Deep Learning, Scala",Bachelor,16,Government,7.7,Neural Networks Co,3,1,1,0,0,0,0.04957482993197279,0.04175170068027211
Principal Data Scientist,251392,EX,France,L,France,0,"Kubernetes, PyTorch, GCP",PhD,13,Gaming,6.9,Smart Analytics,3,2,3,0,1,0,0.050255102040816325,0.04319727891156463
Autonomous Systems Engineer,122301,SE,Germany,M,Germany,50,"Kubernetes, Python, Computer Vision",Associate,6,Government,5.8,Autonomous Tech,2,1,0,1,0,0,0.05136054421768708,0.04149659863945578
Head of AI,83098,EN,Denmark,S,Denmark,50,"Linux, SQL, Spark",Associate,0,Telecommunications,6.1,DeepTech Ventures,0,0,0,1,0,0,0.049829931972789114,0.03843537414965986
Machine Learning Researcher,209608,EX,Australia,M,Australia,0,"NLP, Python, Hadoop, Kubernetes",Master,18,Automotive,5.5,Digital Transformation LLC,3,1,2,1,0,0,0.047448979591836735,0.039965986394557826
AI Architect,142468,SE,Singapore,S,Singapore,100,"PyTorch, Hadoop, AWS, R, Statistics",PhD,9,Automotive,7.8,Predictive Systems,2,0,3,0,0,0,0.05204081632653061,0.04175170068027211
AI Research Scientist,72157,EN,Japan,S,Japan,50,"Azure, Linux, R, Tableau",Associate,1,Gaming,6.3,Digital Transformation LLC,0,0,0,0,0,0,0.050085034013605444,0.03988095238095238
AI Product Manager,111102,SE,United Kingdom,S,United Kingdom,50,"GCP, Scala, Linux",Bachelor,9,Finance,5.5,Cloud AI Solutions,2,0,1,0,1,0,0.052636054421768705,0.042006802721088435
Machine Learning Engineer,98213,EN,Switzerland,L,Switzerland,0,"Java, SQL, Kubernetes, PyTorch",Associate,1,Media,8.8,Cognitive Computing,0,2,0,0,0,0,0.04957482993197279,0.04175170068027211
Machine Learning Engineer,286837,EX,Sweden,L,Sweden,100,"Hadoop, Mathematics, Linux, PyTorch, GCP",Bachelor,10,Government,6.3,AI Innovations,3,2,1,0,1,0,0.05085034013605442,0.03988095238095238
AI Software Engineer,196045,EX,Germany,M,Romania,0,"Docker, Python, Kubernetes",PhD,10,Education,5.2,Neural Networks Co,3,1,3,1,0,0,0.05136054421768708,0.00816326530612245
ML Ops Engineer,40030,SE,India,M,India,0,"GCP, Deep Learning, Kubernetes",Bachelor,5,Transportation,5.6,Cloud AI Solutions,2,1,1,1,0,0,0.03945578231292517,0.03784013605442177
Head of AI,45335,EN,South Korea,S,South Korea,100,"NLP, SQL, Java, MLOps, Kubernetes",Bachelor,0,Manufacturing,6.3,Predictive Systems,0,0,1,0,1,0,0.053061224489795916,0.04013605442176871
Robotics Engineer,111326,SE,Ireland,S,Ireland,100,"Computer Vision, SQL, Git, Deep Learning, GCP",Bachelor,6,Retail,7.3,Cognitive Computing,2,0,1,0,1,0,0.05127551020408163,0.04311224489795919
Robotics Engineer,146873,SE,Netherlands,L,Vietnam,50,"Kubernetes, SQL, AWS, GCP",PhD,9,Real Estate,7.5,TechCorp Inc,2,2,3,0,1,0,0.050425170068027214,0.007227891156462585
AI Specialist,275292,EX,Denmark,M,Denmark,50,"Git, PyTorch, MLOps, Spark, Kubernetes",Master,16,Government,9.9,Machine Intelligence Group,3,1,2,1,0,0,0.049829931972789114,0.03843537414965986
Computer Vision Engineer,115035,MI,United States,L,Poland,50,"Computer Vision, Linux, Mathematics, Git, Kubernetes",PhD,3,Telecommunications,8.1,Advanced Robotics,1,2,3,1,0,0,0.05314625850340136,0.005442176870748299
