job_title,experience_level,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,benefits_score
Machine Learning Engineer,EX,United Kingdom,M,United Kingdom,100,PhD,14,Retail,8.2
Principal Data Scientist,EX,South Korea,L,Argentina,50,PhD,11,Consulting,8.0
Research Scientist,SE,Singapore,S,Singapore,100,Associate,6,Energy,7.9
Data Analyst,EX,Finland,M,Finland,100,PhD,15,Telecommunications,8.5
NLP Engineer,EN,Australia,M,Australia,100,Bachelor,1,Retail,6.8
Deep Learning Engineer,SE,India,S,Latvia,50,Bachelor,6,Government,7.7
Head of AI,MI,United States,M,United States,0,Associate,2,Media,6.3
AI Product Manager,SE,Netherlands,L,Hungary,0,Associate,5,Finance,7.5
Machine Learning Researcher,EN,Sweden,S,Egypt,100,Associate,0,Finance,7.8
Deep Learning Engineer,SE,China,L,China,0,Master,9,Automotive,6.5
Robotics Engineer,SE,Denmark,S,Denmark,0,PhD,8,Energy,6.7
AI Specialist,EX,Ireland,L,Ireland,50,Master,11,Automotive,9.0
NLP Engineer,SE,Canada,M,Canada,100,Bachelor,7,Energy,5.9
Data Engineer,SE,Israel,S,Australia,100,Associate,9,Energy,6.0
AI Software Engineer,EN,United Kingdom,S,United Kingdom,100,Master,0,Gaming,8.6
Data Analyst,MI,Japan,L,Japan,100,Master,2,Transportation,9.2
Data Analyst,EN,China,S,Portugal,0,Master,0,Media,9.1
Machine Learning Engineer,SE,Denmark,M,Luxembourg,100,Master,8,Healthcare,8.7
Machine Learning Researcher,EN,Denmark,S,Denmark,100,Associate,0,Transportation,7.5
Data Engineer,EX,Switzerland,M,Switzerland,0,Bachelor,16,Government,7.7
Principal Data Scientist,EX,France,L,France,0,PhD,13,Gaming,6.9
Autonomous Systems Engineer,SE,Germany,M,Germany,50,Associate,6,Government,5.8
Head of AI,EN,Denmark,S,Denmark,50,Associate,0,Telecommunications,6.1
Machine Learning Researcher,EX,Australia,M,Australia,0,Master,18,Automotive,5.5
AI Architect,SE,Singapore,S,Singapore,100,PhD,9,Automotive,7.8
AI Research Scientist,EN,Japan,S,Japan,50,Associate,1,Gaming,6.3
AI Product Manager,SE,United Kingdom,S,United Kingdom,50,Bachelor,9,Finance,5.5
Machine Learning Engineer,EN,Switzerland,L,Switzerland,0,Associate,1,Media,8.8
Machine Learning Engineer,EX,Sweden,L,Sweden,100,Bachelor,10,Government,6.3
AI Software Engineer,EX,Germany,M,Romania,0,PhD,10,Education,5.2
ML Ops Engineer,SE,India,M,India,0,Bachelor,5,Transportation,5.6
Head of AI,EN,South Korea,S,South Korea,100,Bachelor,0,Manufacturing,6.3
Robotics Engineer,SE,Ireland,S,Ireland,100,Bachelor,6,Retail,7.3
Robotics Engineer,SE,Netherlands,L,Vietnam,50,PhD,9,Real Estate,7.5
AI Specialist,EX,Denmark,M,Denmark,50,Master,16,Government,9.9
Computer Vision Engineer,MI,United States,L,Poland,50,PhD,3,Telecommunications,8.1
Data Scientist,EX,China,M,China,100,Master,11,Telecommunications,5.8
